stop_id,route_short_name,,
4770,304,,"[s4770, 304],"
4770,34,,"[s4770, 34],"
4770,208,,"[s4770, 208],"
4774,3,,"[s4774, 3],"
4774,6,,"[s4774, 6],"
4774,436S,,"[s4774, 436S],"
4830,8,,"[s4830, 8],"
4830,102,,"[s4830, 102],"
4830,125,,"[s4830, 125],"
4830,20,,"[s4830, 20],"
4830,300,,"[s4830, 300],"
4830,304,,"[s4830, 304],"
4830,50,,"[s4830, 50],"
4830,208,,"[s4830, 208],"
4895,106,,"[s4895, 106],"
4919,303,,"[s4919, 303],"
4920,303,,"[s4920, 303],"
4936,20,,"[s4936, 20],"
4936,37,,"[s4936, 37],"
4936,208,,"[s4936, 208],"
4945,302,,"[s4945, 302],"
4950,20,,"[s4950, 20],"
4950,208,,"[s4950, 208],"
4960,20,,"[s4960, 20],"
4960,208,,"[s4960, 208],"
4967,302,,"[s4967, 302],"
4972,20,,"[s4972, 20],"
4972,37,,"[s4972, 37],"
4972,208,,"[s4972, 208],"
4980,34,,"[s4980, 34],"
4980,37,,"[s4980, 37],"
5014,301,,"[s5014, 301],"
5023,20,,"[s5023, 20],"
5023,34,,"[s5023, 34],"
5023,37,,"[s5023, 37],"
5023,38,,"[s5023, 38],"
5023,40,,"[s5023, 40],"
5023,208,,"[s5023, 208],"
5024,38,,"[s5024, 38],"
5024,40,,"[s5024, 40],"
5032,301,,"[s5032, 301],"
5032,305,,"[s5032, 305],"
5035,38,,"[s5035, 38],"
5035,40,,"[s5035, 40],"
5041,38,,"[s5041, 38],"
5041,208,,"[s5041, 208],"
5043,304,,"[s5043, 304],"
5051,304,,"[s5051, 304],"
5051,305,,"[s5051, 305],"
5083,319,,"[s5083, 319],"
5115,319,,"[s5115, 319],"
5135,20,,"[s5135, 20],"
5135,24,,"[s5135, 24],"
5135,303,,"[s5135, 303],"
5135,319,,"[s5135, 319],"
5135,57,,"[s5135, 57],"
5135,208,,"[s5135, 208],"
5136,20,,"[s5136, 20],"
5136,24,,"[s5136, 24],"
5160,303,,"[s5160, 303],"
5164,20,,"[s5164, 20],"
5164,24,,"[s5164, 24],"
5168,34,,"[s5168, 34],"
5168,208,,"[s5168, 208],"
5183,34,,"[s5183, 34],"
5183,208,,"[s5183, 208],"
5191,34,,"[s5191, 34],"
5191,208,,"[s5191, 208],"
5194,208,,"[s5194, 208],"
5218,302,,"[s5218, 302],"
5219,302,,"[s5219, 302],"
5239,303,,"[s5239, 303],"
5240,303,,"[s5240, 303],"
5246,301,,"[s5246, 301],"
5247,301,,"[s5247, 301],"
5247,305,,"[s5247, 305],"
5252,34,,"[s5252, 34],"
5252,37,,"[s5252, 37],"
5303,15,,"[s5303, 15],"
5306,15,,"[s5306, 15],"
5323,3,,"[s5323, 3],"
5330,3,,"[s5330, 3],"
5395,51,,"[s5395, 51],"
5400,51,,"[s5400, 51],"
5415,51,,"[s5415, 51],"
5420,51,,"[s5420, 51],"
5462,38,,"[s5462, 38],"
5462,40,,"[s5462, 40],"
5464,34,,"[s5464, 34],"
5464,40,,"[s5464, 40],"
5464,208,,"[s5464, 208],"
5482,304,,"[s5482, 304],"
5492,304,,"[s5492, 304],"
5492,34,,"[s5492, 34],"
5492,208,,"[s5492, 208],"
5509,57,,"[s5509, 57],"
5510,436S,,"[s5510, 436S],"
5521,7,,"[s5521, 7],"
5555,20,,"[s5555, 20],"
5555,24,,"[s5555, 24],"
5556,20,,"[s5556, 20],"
5556,24,,"[s5556, 24],"
5566,11,,"[s5566, 11],"
5566,111,,"[s5566, 111],"
5566,42,,"[s5566, 42],"
5566,436S,,"[s5566, 436S],"
5566,51,,"[s5566, 51],"
5566,51,,"[s5566, 51],"
5633,50,,"[s5633, 50],"
5633,56,,"[s5633, 56],"
5634,302,,"[s5634, 302],"
5635,302,,"[s5635, 302],"
5636,302,,"[s5636, 302],"
5636,56,,"[s5636, 56],"
5637,302,,"[s5637, 302],"
5638,301,,"[s5638, 301],"
5639,303,,"[s5639, 303],"
5642,300,,"[s5642, 300],"
5643,300,,"[s5643, 300],"
5643,301,,"[s5643, 301],"
5643,302,,"[s5643, 302],"
5643,303,,"[s5643, 303],"
5643,304,,"[s5643, 304],"
5643,305,,"[s5643, 305],"
5643,306,,"[s5643, 306],"
5643,50,,"[s5643, 50],"
5647,301,,"[s5647, 301],"
5673,301,,"[s5673, 301],"
5675,301,,"[s5675, 301],"
5676,300,,"[s5676, 300],"
5676,304,,"[s5676, 304],"
5677,300,,"[s5677, 300],"
5677,304,,"[s5677, 304],"
5702,8,,"[s5702, 8],"
5744,303,,"[s5744, 303],"
5747,57,,"[s5747, 57],"
5764,106,,"[s5764, 106],"
5764,405,,"[s5764, 405],"
5764,436N,,"[s5764, 436N],"
5764,44,,"[s5764, 44],"
5764,44,,"[s5764, 44],"
5764,445,,"[s5764, 445],"
5789,125,,"[s5789, 125],"
5789,34,,"[s5789, 34],"
5789,37,,"[s5789, 37],"
5789,443,,"[s5789, 443],"
5789,48,,"[s5789, 48],"
5816,436S,,"[s5816, 436S],"
5843,57,,"[s5843, 57],"
5854,26,,"[s5854, 26],"
5854,28,,"[s5854, 28],"
5861,111,,"[s5861, 111],"
5861,42,,"[s5861, 42],"
5861,58,,"[s5861, 58],"
5863,58,,"[s5863, 58],"
5866,302,,"[s5866, 302],"
5887,54,,"[s5887, 54],"
5887,55,,"[s5887, 55],"
5888,54,,"[s5888, 54],"
5888,55,,"[s5888, 55],"
5914,405,,"[s5914, 405],"
5930,44,,"[s5930, 44],"
5931,44,,"[s5931, 44],"
5940,1,,"[s5940, 1],"
5940,8,,"[s5940, 8],"
5956,25,,"[s5956, 25],"
5963,8,,"[s5963, 8],"
5963,20,,"[s5963, 20],"
5963,24,,"[s5963, 24],"
5963,42,,"[s5963, 42],"
5963,208,,"[s5963, 208],"
5964,8,,"[s5964, 8],"
5964,20,,"[s5964, 20],"
5964,24,,"[s5964, 24],"
5964,42,,"[s5964, 42],"
5964,208,,"[s5964, 208],"
6061,57,,"[s6061, 57],"
6079,303,,"[s6079, 303],"
6080,303,,"[s6080, 303],"
6080,305,,"[s6080, 305],"
6174,48,,"[s6174, 48],"
6236,3,,"[s6236, 3],"
6255,434,,"[s6255, 434],"
6287,434,,"[s6287, 434],"
6293,434,,"[s6293, 434],"
6299,434,,"[s6299, 434],"
6317,25,,"[s6317, 25],"
6349,434,,"[s6349, 434],"
6363,434,,"[s6363, 434],"
6370,434,,"[s6370, 434],"
6372,434,,"[s6372, 434],"
6435,104,,"[s6435, 104],"
6448,26,,"[s6448, 26],"
6448,306,,"[s6448, 306],"
6448,416,,"[s6448, 416],"
6448,426,,"[s6448, 426],"
6448,62,,"[s6448, 62],"
6464,45,,"[s6464, 45],"
6470,125,,"[s6470, 125],"
6473,434,,"[s6473, 434],"
6496,125,,"[s6496, 125],"
6496,20,,"[s6496, 20],"
6496,208,,"[s6496, 208],"
6516,54,,"[s6516, 54],"
6516,55,,"[s6516, 55],"
6551,443,,"[s6551, 443],"
6554,306,,"[s6554, 306],"
6564,426,,"[s6564, 426],"
6564,62,,"[s6564, 62],"
6596,105,,"[s6596, 105],"
6612,105,,"[s6612, 105],"
6631,20,,"[s6631, 20],"
6632,20,,"[s6632, 20],"
6633,20,,"[s6633, 20],"
6637,20,,"[s6637, 20],"
6638,20,,"[s6638, 20],"
6639,20,,"[s6639, 20],"
6643,44,,"[s6643, 44],"
6644,44,,"[s6644, 44],"
6645,46E,,"[s6645, 46E],"
6647,104,,"[s6647, 104],"
6647,20,,"[s6647, 20],"
6648,20,,"[s6648, 20],"
6656,445,,"[s6656, 445],"
6657,445,,"[s6657, 445],"
6848,416,,"[s6848, 416],"
6848,427,,"[s6848, 427],"
6849,7,,"[s6849, 7],"
6849,104,,"[s6849, 104],"
6849,105,,"[s6849, 105],"
6849,106,,"[s6849, 106],"
6849,11,,"[s6849, 11],"
6849,18,,"[s6849, 18],"
6849,26,,"[s6849, 26],"
6849,28,,"[s6849, 28],"
6849,29,,"[s6849, 29],"
6849,319,,"[s6849, 319],"
6849,34,,"[s6849, 34],"
6849,38,,"[s6849, 38],"
6849,40,,"[s6849, 40],"
6849,441,,"[s6849, 441],"
6849,48,,"[s6849, 48],"
6849,49,,"[s6849, 49],"
6849,51,,"[s6849, 51],"
6849,54,,"[s6849, 54],"
6849,208,,"[s6849, 208],"
6850,3,,"[s6850, 3],"
6850,8,,"[s6850, 8],"
6850,13,,"[s6850, 13],"
6850,15,,"[s6850, 15],"
6850,1792,,"[s6850, 1792],"
6850,25,,"[s6850, 25],"
6850,313,,"[s6850, 313],"
6850,38,,"[s6850, 38],"
6850,208,,"[s6850, 208],"
6854,427,,"[s6854, 427],"
6856,427,,"[s6856, 427],"
6858,427,,"[s6858, 427],"
6884,304,,"[s6884, 304],"
6888,62,,"[s6888, 62],"
6890,62,,"[s6890, 62],"
6902,111,,"[s6902, 111],"
6925,426,,"[s6925, 426],"
6925,62,,"[s6925, 62],"
6926,436N,,"[s6926, 436N],"
6928,418,,"[s6928, 418],"
6932,34,,"[s6932, 34],"
6932,46E,,"[s6932, 46E],"
6932,46W,,"[s6932, 46W],"
6934,8,,"[s6934, 8],"
6934,106,,"[s6934, 106],"
6934,108,,"[s6934, 108],"
6934,18,,"[s6934, 18],"
6934,26,,"[s6934, 26],"
6934,441,,"[s6934, 441],"
6934,54,,"[s6934, 54],"
6934,55,,"[s6934, 55],"
6934,56,,"[s6934, 56],"
6934,57,,"[s6934, 57],"
6934,62,,"[s6934, 62],"
6934,208,,"[s6934, 208],"
6936,416,,"[s6936, 416],"
6937,416,,"[s6937, 416],"
6939,11,,"[s6939, 11],"
6939,111,,"[s6939, 111],"
6939,18,,"[s6939, 18],"
6939,418,,"[s6939, 418],"
6939,42,,"[s6939, 42],"
6939,208,,"[s6939, 208],"
6941,418,,"[s6941, 418],"
6948,45,,"[s6948, 45],"
6983,20,,"[s6983, 20],"
7018,208,,"[s7018, 208],"
7024,418,,"[s7024, 418],"
7030,8,,"[s7030, 8],"
7030,208,,"[s7030, 208],"
7032,125,,"[s7032, 125],"
7037,125,,"[s7037, 125],"
